# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 101 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 207 
# FineTHR[0] = 111 
# FineTHR[1] = 101 
# FineTHR[2] = 000 
# FineTHR[3] = 000 
# FineTHR[4] = 000 
# FineTHR[5] = 010 
# FineTHR[6] = 011 
# FineTHR[7] = 000 
# FineTHR[8] = 111 
# FineTHR[9] = 000 
# FineTHR[10] = 001 
# FineTHR[11] = 001 
# FineTHR[12] = 101 
# FineTHR[13] = 111 
# FineTHR[14] = 101 
# FineTHR[15] = 110 
# FineTHR[16] = 000 
# FineTHR[17] = 111 
# FineTHR[18] = 111 
# FineTHR[19] = 000 
# FineTHR[20] = 000 
# FineTHR[21] = 111 
# FineTHR[22] = 100 
# FineTHR[23] = 000 
# FineTHR[24] = 110 
# FineTHR[25] = 100 
# FineTHR[26] = 100 
# FineTHR[27] = 000 
# FineTHR[28] = 110 
# FineTHR[29] = 001 
# FineTHR[30] = 111 
# FineTHR[31] = 111 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
207	17	1000	0	1
207	17	1000	0	2
207	17	1000	0	3
207	17	1000	0	4
207	17	1000	0	5
207	17	1000	0	6
207	17	1000	31	7
207	17	1000	0	8
207	17	1000	0	9
207	17	1000	0	10
207	17	1000	0	11
207	17	1000	0	12
207	17	1000	0	13
207	17	1000	0	14
207	17	1000	0	15
207	17	1000	0	16
207	17	1000	0	17
207	17	1000	0	18
207	17	1000	0	19
207	17	1000	0	20
207	17	1000	0	21
207	17	1000	0	22
207	17	1000	0	23
207	17	1000	0	24
207	17	1000	0	25
207	17	1000	0	26
207	17	1000	0	27
207	17	1000	0	28
207	17	1000	0	29
207	17	1000	0	30
207	17	1000	0	31
# Event data block #19
# Threshold	DAC	Events	Triggered	CH#
207	18	1000	0	0
207	18	1000	0	1
207	18	1000	0	2
207	18	1000	0	3
207	18	1000	0	4
207	18	1000	0	5
207	18	1000	0	6
207	18	1000	65	7
207	18	1000	0	8
207	18	1000	0	9
207	18	1000	0	10
207	18	1000	0	11
207	18	1000	0	12
207	18	1000	0	13
207	18	1000	0	14
207	18	1000	0	15
207	18	1000	0	16
207	18	1000	0	17
207	18	1000	0	18
207	18	1000	0	19
207	18	1000	0	20
207	18	1000	0	21
207	18	1000	0	22
207	18	1000	0	23
207	18	1000	0	24
207	18	1000	0	25
207	18	1000	0	26
207	18	1000	0	27
207	18	1000	0	28
207	18	1000	0	29
207	18	1000	0	30
207	18	1000	0	31
# Event data block #20
# Threshold	DAC	Events	Triggered	CH#
207	19	1000	0	0
207	19	1000	0	1
207	19	1000	0	2
207	19	1000	0	3
207	19	1000	0	4
207	19	1000	0	5
207	19	1000	0	6
207	19	1000	136	7
207	19	1000	0	8
207	19	1000	0	9
207	19	1000	0	10
207	19	1000	0	11
207	19	1000	0	12
207	19	1000	0	13
207	19	1000	0	14
207	19	1000	0	15
207	19	1000	0	16
207	19	1000	0	17
207	19	1000	0	18
207	19	1000	0	19
207	19	1000	0	20
207	19	1000	0	21
207	19	1000	0	22
207	19	1000	0	23
207	19	1000	0	24
207	19	1000	0	25
207	19	1000	0	26
207	19	1000	0	27
207	19	1000	0	28
207	19	1000	0	29
207	19	1000	0	30
207	19	1000	0	31
# Event data block #21
# Threshold	DAC	Events	Triggered	CH#
207	20	1000	0	0
207	20	1000	0	1
207	20	1000	0	2
207	20	1000	0	3
207	20	1000	0	4
207	20	1000	0	5
207	20	1000	0	6
207	20	1000	312	7
207	20	1000	0	8
207	20	1000	0	9
207	20	1000	0	10
207	20	1000	0	11
207	20	1000	0	12
207	20	1000	0	13
207	20	1000	0	14
207	20	1000	0	15
