# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 1011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000011111111 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 210 
# FineTHR[0] = 001 
# FineTHR[1] = 000 
# FineTHR[2] = 111 
# FineTHR[3] = 010 
# FineTHR[4] = 000 
# FineTHR[5] = 111 
# FineTHR[6] = 000 
# FineTHR[7] = 111 
# FineTHR[8] = 111 
# FineTHR[9] = 110 
# FineTHR[10] = 000 
# FineTHR[11] = 011 
# FineTHR[12] = 000 
# FineTHR[13] = 101 
# FineTHR[14] = 101 
# FineTHR[15] = 010 
# FineTHR[16] = 000 
# FineTHR[17] = 110 
# FineTHR[18] = 101 
# FineTHR[19] = 110 
# FineTHR[20] = 111 
# FineTHR[21] = 111 
# FineTHR[22] = 000 
# FineTHR[23] = 111 
# FineTHR[24] = 111 
# FineTHR[25] = 010 
# FineTHR[26] = 000 
# FineTHR[27] = 011 
# FineTHR[28] = 111 
# FineTHR[29] = 000 
# FineTHR[30] = 000 
# FineTHR[31] = 111 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
210	0	1000	0	0
210	0	1000	0	1
210	0	1000	0	2
210	0	1000	0	3
210	0	1000	0	4
210	0	1000	0	5
210	0	1000	0	6
210	0	1000	0	7
210	0	1000	0	8
210	0	1000	0	9
210	0	1000	0	10
210	0	1000	0	11
210	0	1000	0	12
210	0	1000	0	13
210	0	1000	0	14
210	0	1000	0	15
210	0	1000	0	16
210	0	1000	0	17
210	0	1000	0	18
210	0	1000	0	19
210	0	1000	0	20
210	0	1000	0	21
210	0	1000	0	22
210	0	1000	0	23
210	0	1000	0	24
210	0	1000	0	25
210	0	1000	0	26
210	0	1000	0	27
210	0	1000	0	28
210	0	1000	0	29
210	0	1000	0	30
210	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
210	5	1000	0	0
210	5	1000	0	1
210	5	1000	0	2
210	5	1000	0	3
210	5	1000	0	4
210	5	1000	0	5
210	5	1000	0	6
210	5	1000	0	7
210	5	1000	0	8
210	5	1000	0	9
210	5	1000	0	10
210	5	1000	0	11
210	5	1000	0	12
210	5	1000	0	13
210	5	1000	0	14
210	5	1000	0	15
210	5	1000	0	16
210	5	1000	0	17
210	5	1000	0	18
210	5	1000	0	19
210	5	1000	0	20
210	5	1000	0	21
210	5	1000	0	22
210	5	1000	0	23
210	5	1000	0	24
210	5	1000	0	25
210	5	1000	0	26
210	5	1000	0	27
210	5	1000	0	28
210	5	1000	0	29
210	5	1000	0	30
210	5	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
210	10	1000	0	0
210	10	1000	0	1
210	10	1000	0	2
210	10	1000	0	3
210	10	1000	1	4
210	10	1000	0	5
