# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 101 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 207 
# FineTHR[0] = 001 
# FineTHR[1] = 000 
# FineTHR[2] = 111 
# FineTHR[3] = 010 
# FineTHR[4] = 000 
# FineTHR[5] = 111 
# FineTHR[6] = 000 
# FineTHR[7] = 111 
# FineTHR[8] = 111 
# FineTHR[9] = 110 
# FineTHR[10] = 000 
# FineTHR[11] = 011 
# FineTHR[12] = 000 
# FineTHR[13] = 101 
# FineTHR[14] = 101 
# FineTHR[15] = 010 
# FineTHR[16] = 000 
# FineTHR[17] = 110 
# FineTHR[18] = 101 
# FineTHR[19] = 110 
# FineTHR[20] = 111 
# FineTHR[21] = 111 
# FineTHR[22] = 000 
# FineTHR[23] = 111 
# FineTHR[24] = 111 
# FineTHR[25] = 010 
# FineTHR[26] = 000 
# FineTHR[27] = 011 
# FineTHR[28] = 111 
# FineTHR[29] = 000 
# FineTHR[30] = 000 
# FineTHR[31] = 111 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
207	0	1000	0	0
207	0	1000	0	1
207	0	1000	0	2
207	0	1000	0	3
207	0	1000	0	4
207	0	1000	0	5
207	0	1000	0	6
207	0	1000	1	7
207	0	1000	0	8
207	0	1000	0	9
207	0	1000	0	10
207	0	1000	0	11
207	0	1000	0	12
207	0	1000	0	13
207	0	1000	0	14
207	0	1000	0	15
207	0	1000	0	16
207	0	1000	0	17
207	0	1000	0	18
207	0	1000	0	19
207	0	1000	0	20
207	0	1000	0	21
207	0	1000	0	22
207	0	1000	1	23
207	0	1000	0	24
207	0	1000	0	25
207	0	1000	0	26
207	0	1000	0	27
207	0	1000	0	28
207	0	1000	3	29
207	0	1000	3	30
207	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
207	1	1000	0	0
207	1	1000	0	1
207	1	1000	0	2
207	1	1000	0	3
207	1	1000	0	4
207	1	1000	0	5
207	1	1000	0	6
207	1	1000	0	7
207	1	1000	0	8
207	1	1000	0	9
207	1	1000	0	10
207	1	1000	0	11
207	1	1000	0	12
207	1	1000	0	13
207	1	1000	0	14
207	1	1000	0	15
207	1	1000	0	16
207	1	1000	0	17
207	1	1000	0	18
207	1	1000	0	19
207	1	1000	0	20
207	1	1000	0	21
207	1	1000	0	22
207	1	1000	0	23
207	1	1000	0	24
207	1	1000	0	25
207	1	1000	0	26
207	1	1000	0	27
207	1	1000	0	28
207	1	1000	0	29
207	1	1000	0	30
207	1	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
207	2	1000	0	0
207	2	1000	0	1
207	2	1000	0	2
207	2	1000	0	3
207	2	1000	0	4
207	2	1000	0	5
207	2	1000	0	6
207	2	1000	0	7
207	2	1000	0	8
207	2	1000	0	9
207	2	1000	0	10
207	2	1000	0	11
207	2	1000	0	12
207	2	1000	0	13
207	2	1000	0	14
207	2	1000	0	15
207	2	1000	0	16
207	2	1000	0	17
207	2	1000	0	18
207	2	1000	0	19
207	2	1000	0	20
207	2	1000	0	21
207	2	1000	0	22
207	2	1000	0	23
207	2	1000	0	24
207	2	1000	0	25
207	2	1000	0	26
207	2	1000	0	27
207	2	1000	0	28
207	2	1000	0	29
